event_date,phone_is_null,is_military,is_phone_lokal,is_phone_ru,category,is_transit,is_single_signal,echelon,devices
2025-08-20,False,False,False,True,constant,False,False,0,3225
2025-07-15,False,False,False,True,disapeared,False,False,0,1034
2025-08-27,False,False,True,False,new,False,True,3,127
2025-07-26,False,False,False,False,constant,True,False,0,6
2025-07-25,False,False,False,True,arrived,True,False,3,106
2025-09-06,False,False,False,True,new,True,False,1,311
2025-09-06,False,False,False,True,disapeared,False,True,0,202
2025-08-20,False,False,True,False,new,False,True,0,20
2025-07-24,False,False,True,False,disapeared,True,False,3,23
2025-08-23,False,False,True,False,disapeared,True,False,1,1034
2025-08-23,False,False,False,True,disapeared,False,True,3,406
2025-08-23,False,False,True,False,disapeared,False,True,0,19
2025-09-01,False,False,False,True,disapeared,False,True,2,367
2025-07-30,False,False,True,False,departed,False,False,3,29
2025-07-09,True,False,False,True,disapeared,True,False,0,16
2025-09-04,False,False,False,True,new,False,False,1,498
2025-08-31,True,False,False,True,new,True,False,0,96
2025-08-31,False,False,True,False,new,True,False,0,333
2025-09-04,False,False,True,False,arrived,True,False,0,473
2025-09-04,False,False,False,True,new,True,False,0,251
2025-09-14,True,False,False,True,new,False,False,0,777
2025-09-02,False,False,True,False,departed,True,False,2,2081
2025-09-08,False,False,False,True,new,True,False,0,243
2025-09-02,False,False,False,True,disapeared,True,False,0,224
2025-07-05,False,False,True,False,departed,True,False,3,143
2025-09-10,False,False,True,False,disapeared,True,False,2,473
2025-07-06,False,False,True,False,new,False,False,0,353
2025-07-05,False,False,False,True,arrived,True,False,1,25
2025-07-02,True,False,False,True,departed,True,False,0,6
2025-09-03,False,False,True,False,disapeared,False,False,1,491
2025-09-04,False,False,False,True,departed,True,False,3,96
2025-09-21,False,False,True,False,constant,True,False,1,361
2025-09-18,False,False,False,True,constant,False,False,3,1377
2025-09-18,True,False,False,True,departed,True,False,0,17
2025-09-19,False,False,False,True,constant,True,False,3,8
2025-08-14,False,False,True,False,constant,False,False,2,5201
2025-08-11,False,False,True,False,new,False,False,1,358
2025-08-12,False,False,False,True,departed,True,False,3,2
2025-08-13,False,False,False,True,departed,False,False,2,41
2025-07-20,False,True,True,False,departed,True,False,0,5
2025-07-31,False,True,False,True,new,False,False,3,43
2025-07-17,False,True,False,True,constant,False,False,1,262
2025-07-17,False,True,False,True,arrived,True,False,1,8
2025-08-30,False,True,False,True,arrived,False,False,0,6
2025-08-23,False,True,False,True,disapeared,False,False,0,207
2025-08-30,False,True,False,True,constant,True,False,0,25
2025-07-06,False,True,True,False,constant,False,False,2,12
2025-09-07,False,True,True,False,constant,False,False,3,3
2025-09-22,False,True,False,True,disapeared,False,True,3,15
2025-09-23,False,True,False,True,disapeared,True,False,1,4
2025-08-13,False,True,False,True,new,False,True,3,20
2025-08-10,False,True,False,True,disapeared,False,True,3,13
2025-07-05,False,True,False,True,new,False,True,1,14
2025-07-18,False,False,False,True,disapeared,False,False,3,613
2025-08-04,False,False,False,True,constant,False,False,2,5199
2025-07-28,False,False,True,False,new,False,False,2,913
2025-08-05,False,False,True,False,departed,True,False,0,924
2025-07-25,False,False,False,True,new,False,False,3,578
2025-07-22,False,False,True,False,constant,True,False,1,982
2025-08-07,False,False,False,True,departed,True,False,1,148
2025-07-20,False,False,False,True,arrived,True,False,1,188
2025-07-14,False,False,False,True,arrived,True,False,3,81
2025-08-05,False,False,False,True,new,False,True,2,324
2025-07-26,False,False,False,True,new,False,True,3,284
2025-08-22,False,False,False,True,new,True,False,1,436
2025-07-12,False,False,False,True,departed,True,False,1,154
2025-08-19,False,False,False,True,new,True,False,1,323
2025-07-31,False,False,False,True,departed,True,False,1,178
2025-07-20,False,False,False,True,arrived,True,False,3,35
2025-07-11,False,False,True,False,departed,True,False,3,160
2025-08-06,False,False,False,True,arrived,True,False,2,766
2025-08-21,False,False,True,False,disapeared,False,False,0,383
2025-08-06,False,False,True,False,arrived,True,False,3,150
2025-08-21,True,False,False,True,departed,False,False,0,40
2025-07-16,True,False,False,True,new,False,True,0,770
2025-08-19,True,False,False,True,arrived,True,False,0,19
2025-09-06,False,False,False,True,disapeared,False,True,3,270
2025-08-01,False,False,True,False,disapeared,False,True,1,33
2025-07-10,False,False,False,True,constant,True,False,2,603
2025-07-25,False,False,True,False,disapeared,False,True,0,23
2025-07-29,False,False,True,False,constant,True,False,1,919
2025-07-29,False,False,True,False,constant,True,False,3,46
2025-07-09,False,False,True,False,disapeared,False,True,1,70
2025-08-18,False,False,False,True,arrived,False,False,2,180
2025-07-05,True,False,False,True,constant,True,False,0,16
2025-07-05,False,False,True,False,disapeared,False,False,3,635
2025-07-05,False,False,True,False,disapeared,True,False,0,278
2025-07-05,True,False,False,True,disapeared,False,False,0,859
2025-07-05,False,False,True,False,arrived,False,False,3,529
2025-09-05,False,False,False,True,departed,False,False,2,114
2025-09-09,False,False,False,True,disapeared,False,True,2,462
2025-09-13,False,False,True,False,arrived,True,False,1,1380
2025-09-13,False,False,True,False,new,True,False,2,747
2025-09-03,False,False,False,True,new,True,False,1,273
2025-09-12,True,False,False,True,new,False,True,0,654
2025-09-17,False,False,True,False,arrived,True,False,3,43
2025-09-19,False,False,True,False,departed,True,False,0,412
2025-09-19,False,False,True,False,disapeared,True,False,0,146
2025-09-22,True,False,False,True,new,False,True,2,96
2025-09-20,False,False,True,False,departed,True,False,3,45
2025-08-11,False,False,True,False,departed,True,False,2,1319
2025-08-14,False,False,False,True,disapeared,False,True,1,97
2025-08-13,False,False,True,False,arrived,False,False,2,695
2025-08-13,False,False,False,True,new,True,False,1,21
2025-07-13,False,True,False,True,arrived,True,False,1,9
2025-08-21,False,True,False,True,disapeared,False,False,2,220
2025-08-27,False,True,False,True,constant,False,False,2,439
2025-08-01,False,True,False,True,disapeared,False,True,1,31
2025-07-22,False,True,False,True,disapeared,False,True,2,25
2025-08-29,False,True,False,True,constant,False,False,3,82
2025-07-30,False,True,False,True,new,False,False,2,112
2025-08-31,False,True,False,True,new,False,True,2,33
2025-08-29,False,True,False,True,disapeared,True,False,1,14
2025-08-18,False,True,False,True,new,False,False,2,394
2025-08-24,False,True,False,True,new,True,False,3,2
2025-09-23,False,True,False,True,new,False,True,0,27
2025-08-14,False,True,False,True,disapeared,False,True,0,35
2025-08-18,False,True,True,False,arrived,True,False,0,2
2025-08-17,False,True,False,True,constant,False,False,0,131
2025-08-05,False,False,True,False,constant,True,False,2,3176
2025-07-22,False,False,False,True,disapeared,True,False,1,292
2025-07-18,False,False,True,False,constant,True,False,1,1033
2025-07-14,False,False,False,True,new,False,False,0,940
2025-07-25,True,False,False,True,disapeared,False,False,0,965
2025-07-27,False,False,False,True,disapeared,False,True,0,265
2025-07-18,True,False,False,True,departed,False,False,0,94
2025-07-18,False,False,False,False,constant,False,False,0,57
2025-08-05,False,False,True,False,disapeared,False,False,3,299
2025-08-19,False,False,True,False,arrived,False,False,2,333
2025-07-30,True,False,False,True,new,False,True,0,843
2025-07-11,False,False,False,True,new,False,False,1,608
2025-07-11,False,False,False,True,departed,False,False,2,144
2025-07-30,False,False,True,False,new,True,False,0,333
2025-07-27,False,False,True,False,disapeared,True,False,3,59
2025-08-02,False,False,True,False,constant,True,False,3,43
2025-08-06,False,False,False,True,new,False,True,3,233
2025-07-08,False,False,False,True,constant,True,False,1,99
2025-07-08,False,False,True,False,new,False,False,3,202
2025-08-27,False,False,False,True,disapeared,False,False,3,567
2025-07-10,False,False,True,False,new,True,False,0,433
2025-08-01,False,False,True,False,arrived,False,False,0,19
2025-08-30,False,False,False,True,new,False,False,1,558
2025-08-29,False,False,True,False,disapeared,False,False,2,601
2025-07-22,False,False,True,False,constant,True,False,3,50
2025-07-29,False,False,True,False,new,True,False,1,1613
2025-07-29,False,False,True,False,constant,True,False,0,255
2025-08-08,False,False,False,True,new,True,False,0,55
2025-07-08,False,False,False,True,arrived,False,False,3,36
2025-08-25,False,False,False,True,disapeared,True,False,3,85
2025-09-04,False,False,False,True,constant,True,False,0,174
2025-09-04,False,False,False,True,disapeared,False,True,0,269
2025-07-08,False,False,True,False,departed,False,False,0,40
2025-09-10,False,False,True,False,constant,True,False,2,2014
2025-09-09,False,False,False,True,disapeared,False,True,1,166
2025-09-10,False,False,False,True,arrived,True,False,1,182
2025-08-24,True,False,False,True,arrived,False,False,0,36
2025-07-03,False,False,False,True,arrived,False,False,2,140
2025-09-15,False,False,False,True,disapeared,False,False,0,756
2025-09-15,True,False,False,True,arrived,False,False,0,25
2025-09-11,False,False,False,True,disapeared,False,True,2,487
2025-09-17,False,False,True,False,departed,False,False,3,14
2025-09-18,False,False,False,True,new,False,True,2,487
2025-09-19,False,False,False,True,constant,False,False,0,1538
2025-09-18,False,False,True,False,departed,True,False,3,37
2025-09-20,False,False,False,True,departed,False,False,2,97
2025-08-11,False,False,True,False,disapeared,True,False,3,26
2025-08-12,False,False,True,False,departed,False,False,0,104
2025-08-14,False,False,True,False,arrived,False,False,0,19
2025-08-13,False,False,False,True,new,False,False,1,76
2025-08-10,False,False,True,False,disapeared,True,False,0,27
2025-08-05,False,True,False,True,departed,True,False,2,24
2025-07-24,False,True,False,True,new,False,True,1,15
2025-08-22,False,True,False,True,new,False,False,2,158
2025-07-18,False,True,False,True,new,False,True,0,51
2025-07-26,False,True,False,True,new,False,True,1,15
2025-07-26,False,True,False,True,constant,True,False,3,4
2025-08-03,False,True,False,True,constant,True,False,0,23
2025-07-08,False,True,True,False,departed,True,False,0,2
2025-08-19,False,True,True,False,arrived,True,False,1,7
2025-07-27,False,True,False,True,disapeared,False,True,3,12
2025-07-16,False,True,False,True,new,True,False,2,78
2025-08-20,False,True,False,True,constant,False,False,0,481
2025-08-21,False,True,True,False,arrived,True,False,1,6
2025-08-21,False,True,False,True,departed,False,False,2,14
2025-07-22,False,True,False,True,new,False,True,2,34
2025-08-22,False,True,False,True,new,False,False,3,26
2025-07-07,False,True,False,True,new,False,False,3,29
2025-07-25,False,True,False,True,new,True,False,0,7
2025-08-20,False,True,False,True,constant,True,False,0,20
2025-08-06,False,True,False,True,new,True,False,2,48
2025-07-02,False,True,False,True,new,False,False,1,98
2025-07-05,False,True,False,True,departed,False,False,1,6
2025-09-10,False,True,True,False,constant,False,False,1,9
2025-08-24,False,True,False,True,arrived,True,False,2,21
2025-09-15,False,True,False,True,new,False,False,3,20
2025-09-11,False,True,False,True,disapeared,False,False,0,139
2025-09-17,False,True,False,True,disapeared,True,False,0,22
2025-09-11,False,True,False,True,arrived,True,False,2,19
2025-09-16,False,True,False,True,arrived,True,False,2,43
2025-09-20,False,True,False,True,new,False,True,3,7
2025-07-19,False,False,False,True,new,False,True,2,502
2025-07-24,False,False,True,False,constant,False,False,1,3066
2025-07-14,False,False,False,True,new,True,False,0,340
2025-07-20,False,False,True,False,arrived,False,False,2,164
2025-07-22,False,False,False,True,disapeared,False,True,2,388
2025-07-12,False,False,True,False,disapeared,False,True,1,33
2025-07-30,False,False,False,True,disapeared,False,True,1,126
2025-07-30,False,False,True,False,departed,False,False,1,50
2025-07-08,False,False,False,True,disapeared,True,False,2,1297
2025-07-21,True,False,False,True,arrived,True,False,0,16
2025-09-06,False,False,True,False,disapeared,False,True,1,73
2025-09-06,False,False,True,False,disapeared,False,False,0,293
